age,careAddr,careNm,colorCd,kindCd,neuterYn,noticeEdt,officetel,popfile,processState,specialMark,weight,animalKind,address,sexCd
2018(년생),경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,영일동물플러스,백,[개] 믹스견,N,20180823,054-270-2724,http://www.animal.go.kr/files/shelter/2018/07/201808131208561.jpg,보호중,순함,1(Kg),개,경상도,여자아이
2015(년생),전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,유기동물임시보호쎈타,흰색,[개] 믹스견,N,20180827,061-550-5742,http://www.animal.go.kr/files/shelter/2018/07/201808130908214.jpg,보호중,목걸이 미착용,13(Kg),개,전라도,남자아이
2015(년생),전라남도 영광군 불갑면 함영로 2758 ,불갑동물임시보호소,흰색에 황색,[개] 믹스견,N,20180823,061-350-5408,http://www.animal.go.kr/files/shelter/2018/07/201808131608838.jpeg,보호중,할머리를 물었음,8(Kg),개,전라도,여자아이
2016(년생),전라남도 광양시 사동로 70 (중동) 1층/ 2층,광양동물메디컬센터,황색,[개] 믹스견,N,20180823,061-797-3386,http://www.animal.go.kr/files/shelter/2018/07/201808131308926.jpg,보호중,믹스견 황색 암컷 2살 ( 임신추정),8.8(Kg),개,전라도,여자아이
2016(년생),전라북도 부안군 부안읍 번영로 185 (부안읍/ 르노삼성자동차) 연합동물병원,연합동물병원,검정,[개] 푸들,U,20180824,063-580-4499,http://www.animal.go.kr/files/shelter/2018/07/201808131008416.jpeg,보호중,목줄을 차고 있었음,4(Kg),개,전라도,남자아이
2018(년생),전라북도 순창군 순창읍 장류로 387 (순창읍) 제일동물병원,제일동물병원,흰 바탕에 갈색 얼룩.,[개] 믹스견,U,20180823,063-650-1944,http://www.animal.go.kr/files/shelter/2018/07/20180813090879.jpg,보호중,오른쪽 뒷다리 절뚝거림.,7(Kg),개,전라도,여자아이
2015(년생),전라북도 임실군 오수면 오수리 372 ,오수동물병원,흰색,[개] 믹스견,N,20180823,063-640-2503,http://www.animal.go.kr/files/shelter/2018/07/201808131508490.jpg,보호중,순함,7(Kg),개,전라도,여자아이
2016(년생),전라북도 김제시 용지면 금백로 571-39 (용지면) 전북말산업복합센터,전북말산업복합센터,하얀색,[개] 믹스견,N,20180823,063-540-3683,http://www.animal.go.kr/files/shelter/2018/07/201808131108192.jpg,보호중,순하다,18(Kg),개,전라도,여자아이
2016(년생),전라북도 김제시 용지면 금백로 571-39 (용지면) 전북말산업복합센터,전북말산업복합센터,베이지색,[개] 믹스견,N,20180823,063-540-3683,http://www.animal.go.kr/files/shelter/2018/07/201808131108742[1].jpg,보호중,순하다,20(Kg),개,전라도,남자아이
2017(년생),전라북도 남원시 왕정동 67 ,하나동물병원,갈색,[개] 믹스견,U,20180823,063-620-6420,http://www.animal.go.kr/files/shelter/2018/07/201808131008427.jpg,보호중,피부질환 사진참조,3(Kg),개,전라도,남자아이
2012(년생),전라북도 남원시 왕정동 67 ,하나동물병원,흰색/ 갈색 무늬,[개] 믹스견,U,20180823,063-620-6420,http://www.animal.go.kr/files/shelter/2018/07/201808131008123.jpg,보호중,피부질환 사진참조,3.5(Kg),개,전라도,남자아이
2018(년생),전라북도 전주시 덕진구 인후동1가 806-6,행복한동물병원,흰색갈색,[고양이] 한국 고양이,N,20180822,063-281-5327,http://www.animal.go.kr/files/shelter/2018/07/201808131108268.jpg,보호중,어미 잃은 새끼양이,0.2(Kg),고양이,전라도,남자아이
2018(년생),전라북도 전주시 덕진구 인후동1가 806-6,행복한동물병원,삼색,[고양이] 한국 고양이,N,20180822,063-281-5327,http://www.animal.go.kr/files/shelter/2018/07/201808131108649.jpg,보호중,어미잃은 새끼양이,0.2(Kg),고양이,전라도,여자아이
2014(년생),전라북도 전주시 덕진구 인후동1가 806-6,행복한동물병원,흰색,[개] 진도견,N,20180822,063-281-5327,http://www.animal.go.kr/files/shelter/2018/07/201808131008342.jpg,보호중,주황생목줄착용,18(Kg),개,전라도,여자아이
2018(년생),충청남도 당진시 고대면 연동로 30-6 (고대면) ,당진시동물보호소,갈/검/흰,[개] 믹스견,U,20180822,041-350-4242,http://www.animal.go.kr/files/shelter/2018/07/201808131308342.jpg,보호중,빨간색방울 목줄착용/순함/사람좋아함,1.00(Kg),개,충청도,남자아이
2018(년생),충청남도 당진시 고대면 연동로 30-6 (고대면) ,당진시동물보호소,갈/검/흰,[개] 믹스견,U,20180822,041-350-4242,http://www.animal.go.kr/files/shelter/2018/07/201808131308494.jpg,보호중,빨간색방울 목줄착용/순함/사람좋아함,1.00(Kg),개,충청도,남자아이
2018(년생),충청남도 당진시 고대면 연동로 30-6 (고대면) ,당진시동물보호소,흰색,[개] 진도견,U,20180822,041-350-4242,http://www.animal.go.kr/files/shelter/2018/07/201808131308434.jpg,보호중,파랑빨강 목줄착용/순함/사람좋아함,10.00(Kg),개,충청도,남자아이
2018(년생),충청남도 예산군 예산읍 벚꽃로 153 (예산읍) 1층 KU건국동물병원,KU건국동물병원,흰색,[개] 말티즈,U,20180820,041-339-7645,http://www.animal.go.kr/files/shelter/2018/07/201808131608538.jpg,보호중,신고자분 집 앞에 새벽에 유기,3(Kg),개,충청도,여자아이
2018(년생),충청남도 예산군 예산읍 벚꽃로 153 (예산읍) 1층 KU건국동물병원,KU건국동물병원,갈색,[개] 믹스견,U,20180820,041-339-7645,http://www.animal.go.kr/files/shelter/2018/07/201808130908652.jpg,보호중,우측후지골절/ 신고자집앞에 유기/ 진통/항생제주사,3(Kg),개,충청도,남자아이
2018(년생),충청남도 청양군 청양읍 읍내리 209-29,종합동물병원,사진참조,[개] 믹스견,U,20180820,041-940-2973,http://www.animal.go.kr/files/shelter/2018/07/201808131608566.jpg,보호중,아주 어림,2.00(Kg),개,충청도,남자아이
2017(년생),충청남도 청양군 청양읍 읍내리 209-29,종합동물병원,검은색,[개] 푸들,U,20180820,041-940-2973,http://www.animal.go.kr/files/shelter/2018/07/201808131608240.jpg,보호중,검은색 푸들로 순함,5.00(Kg),개,충청도,여자아이
2016(년생),충청남도 서천군 마산면 한마로 1189-19 ,서천유기동물보호소,흰색,[개] 믹스견,N,20180823,041-950-4110,http://www.animal.go.kr/files/shelter/2018/07/201808131408187.jpg,보호중,사람을 경계하고 공격성 있음,5(Kg),개,충청도,남자아이
2018(년생),충청남도 논산시 중앙로398번길 2 (취암동) ,호크종합동물병원,크림색,[개] 프렌치 불독,U,20180823,041-746-6115,http://www.animal.go.kr/files/shelter/2018/07/20180813170881.jpg,보호중,건강상태 양호/ 영리하고 귀여움,8(Kg),개,충청도,남자아이
2017(년생),충청남도 논산시 중앙로398번길 2 (취암동) ,호크종합동물병원,갈색,[개] 푸들,Y,20180823,041-746-6115,http://www.animal.go.kr/files/shelter/2018/07/201808131708940.jpg,보호중,건강상태 양호/ 의젓하고 예쁨,5.2(Kg),개,충청도,남자아이
2014(년생),충청남도 아산시 둔포면 둔포로 33 (둔포면) 충청남도 아산시 염치읍 석정리 99-21,중부벳동물병원,흰색,[개] 믹스견,N,20180822,041-537-3831,http://www.animal.go.kr/files/shelter/2018/07/201808131008829.jpg,보호중,768호(관리) 706호(공고) 피부상태 안좋음. 수개월째 배회하며 유치원생들 위함하다고 신고됨,10(Kg),개,충청도,여자아이
2016(년생),충청남도 보령시 녹문1길 95 (내항동) ,보령시임시보호소,연갈색,[개] 진도견,N,20180822,041-930-4597,http://www.animal.go.kr/files/shelter/2018/07/201808131608227.jpg,보호중,없음,10.0(Kg),개,충청도,남자아이
2014(년생),충청남도 보령시 녹문1길 95 (내항동) ,보령시임시보호소,갈색,[개] 푸들,Y,20180822,041-930-4597,http://www.animal.go.kr/files/shelter/2018/07/201808131608411.jpg,보호중,뒷다리 부상,3.0(Kg),개,충청도,남자아이
2015(년생),충청남도 보령시 녹문1길 95 (내항동) ,보령시임시보호소,갈색/검은색,[개] 치와와,N,20180822,041-930-4597,http://www.animal.go.kr/files/shelter/2018/07/20180813160852.jpg,보호중,없음,2.8(Kg),개,충청도,여자아이
2018(년생),충청남도 보령시 녹문1길 95 (내항동) ,보령시임시보호소,흰색/검은색,[고양이] 한국 고양이,N,20180822,041-930-4597,http://www.animal.go.kr/files/shelter/2018/07/201808131608100.jpg,보호중,없음,0.5(Kg),고양이,충청도,여자아이
2017(년생),충청남도 공주시 번영1로 54 (신관동) ,강북동물병원,황색,[개] 믹스견,N,20180823,041-840-8899,http://www.animal.go.kr/files/shelter/2018/07/201808131708875.jpg,보호중,진드기 감염증,10(Kg),개,충청도,여자아이
2018(년생),충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면) ,반려동물보호센터,치즈,[고양이] 한국 고양이,N,20180823,043-201-2273,http://www.animal.go.kr/files/shelter/2018/07/201808131408286.jpg,보호중,곰팡이 피부병과 콧물이 남/ 완전 귀엽고 순둥순둥하고 개냥이!!,1.2(Kg),고양이,충청도,남자아이
2015(년생),충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면) ,반려동물보호센터,크림,[개] 코카 스파니엘,U,20180823,043-201-2273,http://www.animal.go.kr/files/shelter/2018/07/201808130908756.jpg,보호중,눈꼽이 많이 낌/어리고 온순함.,6(Kg),개,충청도,여자아이
2018(년생),충청북도 진천군 진천읍 읍내리 479-2,진천동물병원,흰색&노랑,[고양이] 한국 고양이,N,20180823,043-539-3564,http://www.animal.go.kr/files/shelter/2018/07/201808131108263.jpeg,보호중,사나움,05(Kg),고양이,충청도,상관없음
2018(년생),강원도 인제군 인제읍 비봉로44번길 105 ,인제군,흰색,[개] 믹스견,N,20180823,033-460-2265,http://www.animal.go.kr/files/shelter/2018/07/20180813170876.jpg,보호중,박스안에 넣어져 길가에 있었음. 암컷수컷 새끼강아지,1(Kg),개,강원도,남자아이
2017(년생),강원도 화천군 화천읍 산천어길 206 화천군농업기술센터,화천군농업기술센터,흰색,[개] 말티즈,U,20180823,033-440-2942,http://www.animal.go.kr/files/shelter/2018/07/20180813160872.jpg,보호중,온순하며 사람을 좋아함.,15.00(Kg),개,강원도,여자아이
2018(년생),강원도 철원군 동송읍 이평리 11리 성일동물병원,성일동물병원,갈,[개] 믹스견,U,20180823,033-450-5394,http://www.animal.go.kr/files/shelter/2018/07/201808130908198.jpg,보호중,약 3개월령 추정,1.00(Kg),개,강원도,여자아이
2015(년생),강원도 철원군 동송읍 이평리 11리 성일동물병원,성일동물병원,갈,[개] 믹스견,U,20180823,033-450-5394,http://www.animal.go.kr/files/shelter/2018/07/201808130908390.jpg,보호중,뒷다리 부상,3.00(Kg),개,강원도,남자아이
2006(년생),강원도 철원군 동송읍 이평리 11리 성일동물병원,성일동물병원,흰,[개] 믹스견,N,20180823,033-450-5394,http://www.animal.go.kr/files/shelter/2018/07/20180813090871.jpg,보호중,노령견,4.00(Kg),개,강원도,남자아이
2018(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,흰색,[개] 믹스견,N,20180820,033-560-2446,http://www.animal.go.kr/files/shelter/2018/07/201808131108699.jpg,보호중,유기견이 들어와 새끼를 낳음,1.0(Kg),개,강원도,여자아이
2018(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,흰색,[개] 믹스견,N,20180820,033-560-2446,http://www.animal.go.kr/files/shelter/2018/07/201808131108253.jpg,보호중,유기견이 들어와 새끼를 낳음,1.3(Kg),개,강원도,여자아이
2018(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,흰색,[개] 믹스견,N,20180820,033-560-2446,http://www.animal.go.kr/files/shelter/2018/07/201808131108313.jpg,보호중,유기견이 들어와 새끼를 낳음,1.1(Kg),개,강원도,남자아이
2017(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,흰색,[개] 믹스견,N,20180820,033-560-2446,http://www.animal.go.kr/files/shelter/2018/07/201808131108639.jpg,보호중,유기견이 들어와 새끼를 낳음,4(Kg),개,강원도,여자아이
2018(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,갈색,[고양이] 한국 고양이,N,20180820,033-560-2446,http://www.animal.go.kr/files/shelter/2018/07/20180813110888.jpg,보호중,두 마리 함께 발견,0.17(Kg),고양이,강원도,상관없음
2018(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,흰색/ 검정색,[고양이] 한국 고양이,N,20180820,033-560-2446,http://www.animal.go.kr/files/shelter/2018/07/201808131108872.jpg,보호중,두 마리 함께 발견,0.16(Kg),고양이,강원도,상관없음
2018(년생),강원도 영월군 영월읍 하송로 64 (영월읍/ 영월군청사) ,영월군위탁관리보호소,흰색,[개] 믹스견,U,20180820,033-370-2039,http://www.animal.go.kr/files/shelter/2018/07/201808130908225.jpg,보호중,사람을 좋아하고 잘따름,15(Kg),개,강원도,여자아이
2015(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708783.jpg,보호중,상태양호,30(Kg),개,강원도,남자아이
2016(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰검정갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708914.jpg,보호중,상태양호,30(Kg),개,강원도,남자아이
2016(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰검정회색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708209.jpg,보호중,상태양호,25(Kg),개,강원도,여자아이
2017(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰검정갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708906.jpg,보호중,상태양호,3(Kg),개,강원도,여자아이
2017(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰검정갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708473.jpg,보호중,상태양호,3(Kg),개,강원도,남자아이
2017(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708663.jpg,보호중,상태양호,3(Kg),개,강원도,남자아이
2017(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰검정색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708975.jpg,보호중,상태양호,3(Kg),개,강원도,여자아이
2015(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰검정갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708544.jpg,보호중,상태양호,4(Kg),개,강원도,여자아이
2015(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708319.jpg,보호중,상태양호,5(Kg),개,강원도,남자아이
2015(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,흰갈색,[개] 믹스견,N,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708802.jpg,보호중,상태양호,5(Kg),개,강원도,여자아이
2015(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,검정갈색,[개] 코카 스파니엘,U,20180823,033-530-8419,http://www.animal.go.kr/files/shelter/2018/07/201808131708507.jpg,보호중,상태양호 (임신상태),5(Kg),개,강원도,여자아이
2017(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,갈색,[개] 믹스견,N,20180823,031-760-4419,http://www.animal.go.kr/files/shelter/2018/07/201808131508287[1].jpg,보호중,8-40/ 칩없음/ 주인 없을시 신고자가 입양원함,4.50(Kg),개,경기도,여자아이
2016(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,삼색,[개] 믹스견,N,20180823,031-760-4419,http://www.animal.go.kr/files/shelter/2018/07/201808131508198.jpg,보호중,8-39/ 칩없음/ 겁많음,20.00(Kg),개,경기도,여자아이
2018(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,흰색,[개] 말티즈,N,20180823,031-760-4419,http://www.animal.go.kr/files/shelter/2018/07/201808131508792.jpg,보호중,8-38/ 칩없음/ 어리고 순함,2.00(Kg),개,경기도,여자아이
2018(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,고불로 일대,[고양이] 한국 고양이,N,20180823,031-760-4419,http://www.animal.go.kr/files/shelter/2018/07/201808131008937.jpg,보호중,8-37/ 케이지에 담겨 집앞에 버려짐,0.70(Kg),고양이,경기도,남자아이
2018(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,검백색,[고양이] 한국 고양이,N,20180823,031-760-4419,http://www.animal.go.kr/files/shelter/2018/07/201808131008926.jpg,보호중,8-36/ 케이지에 담겨 집앞에 버려짐/ 머리 상처 심함,0.60(Kg),고양이,경기도,남자아이
2018(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,검정,[고양이] 한국 고양이,N,20180823,031-760-4419,http://www.animal.go.kr/files/shelter/2018/07/201808131008118.jpg,보호중,8-35/ 케이지에 담겨 집앞에 버려짐/ 머리부위 상처 심함,0.60(Kg),고양이,경기도,남자아이
2017(년생),경기도 화성시 우정읍 3.1만세로 29 (우정읍) ,청산동물병원,흑회색,[개] 믹스견,N,20180822,031-369-6381,http://www.animal.go.kr/files/shelter/2018/07/201808131708336.jpg,보호중,순함/ 미용,6.72(Kg),개,경기도,남자아이
2014(년생),경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,남양유기견보호센터,회색,[개] 슈나우져,U,20180822,031-369-6381,http://www.animal.go.kr/files/shelter/2018/07/201808131508110.jpg,보호중,갈색 목줄을 매고 있음,7(Kg),개,경기도,남자아이
2016(년생),경기도 가평군 가평읍 아랫마장길 59 (가평읍/ 농업기술센터) 가평 유기동물 보호소,가평군유기동물보호소,흰검,[개] 그레이 하운드,N,20180823,031-580-4796,http://www.animal.go.kr/files/shelter/2018/07/201808131608684.jpg,보호중,캠핑장내 배회/ 목걸이/목줄X,4.2(Kg),개,경기도,남자아이
2018(년생),경기도 안성시 봉남동 326-2,이성준동물병원,검정-하양,[고양이] 한국 고양이,N,20180823,031-678-5492,http://www.animal.go.kr/files/shelter/2018/07/201808131208940.jpg,보호중,박스에 담겨 병원앞에 있었음/꼬리하고 발에 피부병있음,0.4(Kg),고양이,경기도,남자아이
2018(년생),경기도 안성시 봉남동 326-2,이성준동물병원,검정/뒷발만 하양,[고양이] 한국 고양이,N,20180823,031-678-5492,http://www.animal.go.kr/files/shelter/2018/07/20180813120857.jpg,보호중,박스에 담겨 병원앞에 있었음,0.4(Kg),고양이,경기도,남자아이
2018(년생),경기도 안성시 봉남동 326-2,이성준동물병원,검정,[고양이] 한국 고양이,N,20180823,031-678-5492,http://www.animal.go.kr/files/shelter/2018/07/20180813120812.jpg,보호중,박스에 담겨 병원앞에 있었음,0.4(Kg),고양이,경기도,남자아이
2018(년생),경기도 안성시 봉남동 326-2,이성준동물병원,검정,[고양이] 한국 고양이,N,20180823,031-678-5492,http://www.animal.go.kr/files/shelter/2018/07/201808131208953.jpg,보호중,박스에 담겨 병원앞에 있었음,0.4(Kg),고양이,경기도,남자아이
2018(년생),경기도 안성시 봉남동 326-2,이성준동물병원,옅은 갈색,[개] 믹스견,N,20180823,031-678-5492,http://www.animal.go.kr/files/shelter/2018/07/20180813120825.jpg,보호중,없음,3(Kg),개,경기도,여자아이
2009(년생),경기도 여주시 북내면 강문로 117 (북내면) ,강아지와 고양이,갈색,[개] 치와와,N,20180823,031-644-2625,http://www.animal.go.kr/files/shelter/2018/07/20180813110801.jpg,보호중,.,4.0(Kg),개,경기도,여자아이
2018(년생),경기도 여주시 북내면 강문로 117 (북내면) ,강아지와 고양이,삼색,[고양이] 한국 고양이,N,20180823,031-644-2625,http://www.animal.go.kr/files/shelter/2018/07/201808131108674.jpg,보호중,교통사고/기립 불능 상태임,0.7(Kg),고양이,경기도,여자아이
2015(년생),경기도 파주시 문산읍 방촌로 1636 (문산읍/ 강산설렁탕) ,로뎀동물병원,화이트/브라운,[개] 믹스견,N,20180823,031-940-4593,http://www.animal.go.kr/files/shelter/2018/07/201808131208976.jpg,보호중,사람을 잘 따름,22(Kg),개,경기도,여자아이
2016(년생),경기도 용인시 처인구 중부대로 1074-1 (삼가동/ 용인시 동물보호센터) ,용인시 동물보호센터,갈색,[개] 푸들,U,20180823,031-324-3467,http://www.animal.go.kr/files/shelter/2018/07/201808131708113.jpg,보호중,새침떼기 느낌을 풍기는 아이,3.5(Kg),개,경기도,여자아이
2016(년생),경기도 용인시 처인구 중부대로 1074-1 (삼가동/ 용인시 동물보호센터) ,용인시 동물보호센터,흰색,[개] 말티즈,U,20180823,031-324-3467,http://www.animal.go.kr/files/shelter/2018/07/201808131708475.jpg,보호중,소심한 성격이 살짝 뭍어나는 아이,4.9(Kg),개,경기도,여자아이
2010(년생),경기도 용인시 처인구 중부대로 1074-1 (삼가동/ 용인시 동물보호센터) ,용인시 동물보호센터,흰색,[개] 화이트테리어,Y,20180823,031-324-3467,http://www.animal.go.kr/files/shelter/2018/07/201808131708134.jpg,보호중,사람과의 교감을 좋아하는 해맑은 아이,8.7(Kg),개,경기도,남자아이
2018(년생),경기도 용인시 처인구 중부대로 1074-1 (삼가동/ 용인시 동물보호센터) ,용인시 동물보호센터,흰색/ 갈색,[개] 믹스견,N,20180823,031-324-3467,http://www.animal.go.kr/files/shelter/2018/07/201808131708280.jpg,보호중,몽실한 털이 너무 귀여운 귀요미,2.2(Kg),개,경기도,남자아이
2016(년생),경기도 용인시 처인구 중부대로 1074-1 (삼가동/ 용인시 동물보호센터) ,용인시 동물보호센터,갈색/ 흰색,[개] 웰시 코기 펨브로크,N,20180823,031-324-3467,http://www.animal.go.kr/files/shelter/2018/07/201808131708266.jpg,보호중,활발한 성격을 가진 훈남,11(Kg),개,경기도,남자아이
